id	miner	hash	time	difficulty	chainwork
854902	AntPool	000000000000000000011b91a4176c63cf73ccb23be1068d6199eb301956fc29	2024-08-01 05:21:01	90666502495566	0000000000000000000000000000000000000000868b0863cae771167dab4f8a
854903	Foundry USA Pool	00000000000000000001e7b04729b4d88d07136db7742710585ae62bd88c4e62	2024-08-01 05:25:43	90666502495566	0000000000000000000000000000000000000000868b5ada0e0a518726bd8870
854904	SpiderPool	000000000000000000001420d3178408c7c215d2503e66b8d177afc2a9549944	2024-08-01 05:28:50	90666502495566	0000000000000000000000000000000000000000868bad50512d31f7cfcfc156
854905	Foundry USA Pool	0000000000000000000000ef23ad627cc9515c9ad59d497a8051133570935e36	2024-08-01 05:30:13	90666502495566	0000000000000000000000000000000000000000868bffc69450126878e1fa3c
854906	F2Pool	00000000000000000001291acf90b14c1da3b25c81776dd3f2904738d4c2a207	2024-08-01 05:38:12	90666502495566	0000000000000000000000000000000000000000868c523cd772f2d921f43322
854907	ViaBTC	00000000000000000001df0f215272f5c9a9930fcbfafa75268667ef1c4e34f1	2024-08-01 05:41:01	90666502495566	0000000000000000000000000000000000000000868ca4b31a95d349cb066c08
854908	Foundry USA Pool	00000000000000000000a212ff7eaa6afd9440b9115d859678e0f5879061b524	2024-08-01 05:41:35	90666502495566	0000000000000000000000000000000000000000868cf7295db8b3ba7418a4ee
854909	Foundry USA Pool	0000000000000000000029c4ce1e0100dc1f9fa2efb350e47ce30d2f0a6c41a6	2024-08-01 05:44:07	90666502495566	0000000000000000000000000000000000000000868d499fa0db942b1d2addd4
854910	AntPool	000000000000000000003c9879d259a060aa6f70f56df3943e7ad837d0cf07ab	2024-08-01 05:56:24	90666502495566	0000000000000000000000000000000000000000868d9c15e3fe749bc63d16ba
854911	Foundry USA Pool	0000000000000000000240a7f5bb94a2a6dfcb3737f71dc25403a12584f36f35	2024-08-01 05:57:02	90666502495566	0000000000000000000000000000000000000000868dee8c2721550c6f4f4fa0
854912	AntPool	00000000000000000000a498ecfd8fb705442e1c7c935817a6f8e7fc7b4e3f0e	2024-08-01 06:01:48	90666502495566	0000000000000000000000000000000000000000868e41026a44357d18618886
854913	AntPool	000000000000000000003e3593b224e6391654a85fa3d155df9c1889f782ed44	2024-08-01 06:03:20	90666502495566	0000000000000000000000000000000000000000868e9378ad6715edc173c16c
854914	AntPool	000000000000000000029102749af14161f5f75311f06d0bd462cda4366101ca	2024-08-01 06:04:12	90666502495566	0000000000000000000000000000000000000000868ee5eef089f65e6a85fa52
854915	Unknown	00000000000000000001889a79d97d11881c47ba6d60114de010f8d9cf9ff122	2024-08-01 06:26:31	90666502495566	0000000000000000000000000000000000000000868f386533acd6cf13983338
854916	ViaBTC	0000000000000000000176257ee690aab98410f390ae4bedae89a4d584e48607	2024-08-01 06:33:06	90666502495566	0000000000000000000000000000000000000000868f8adb76cfb73fbcaa6c1e
854917	F2Pool	00000000000000000002abb3cfae37dd6602411531b8391a277c1f641cfb051d	2024-08-01 06:35:00	90666502495566	0000000000000000000000000000000000000000868fdd51b9f297b065bca504
854918	SBICrypto	00000000000000000000c9a4cff8e12cab1fc598d12d5bce3fcc20dd4e7d0ea9	2024-08-01 06:40:47	90666502495566	000000000000000000000000000000000000000086902fc7fd1578210eceddea
854919	ViaBTC	000000000000000000026da74475547e63be9502e64951975088ce794c7bf4aa	2024-08-01 06:54:38	90666502495566	00000000000000000000000000000000000000008690823e40385891b7e116d0
854920	SpiderPool	00000000000000000000beff3b2980e815fd450645de3342ff579714b90f3ba8	2024-08-01 07:04:45	90666502495566	00000000000000000000000000000000000000008690d4b4835b390260f34fb6
854921	SpiderPool	0000000000000000000136d13dcb413536cdfc68f224589e236841c907f09860	2024-08-01 07:06:05	90666502495566	00000000000000000000000000000000000000008691272ac67e19730a05889c
854922	Foundry USA Pool	00000000000000000000243baf468198e875a66eed0ea2c9d22798512830beed	2024-08-01 07:28:02	90666502495566	0000000000000000000000000000000000000000869179a109a0f9e3b317c182
854923	ViaBTC	000000000000000000018499c3d084ebe4f2ded2042c730516262397fe5520e4	2024-08-01 07:29:52	90666502495566	00000000000000000000000000000000000000008691cc174cc3da545c29fa68
854924	Foundry USA Pool	00000000000000000000a2dc992b566d423a5c97de1e333eddb76913ed16a5b6	2024-08-01 07:34:27	90666502495566	000000000000000000000000000000000000000086921e8d8fe6bac5053c334e
854925	Foundry USA Pool	00000000000000000002adf0874a3c929f17ba637881682db26e212c83985baa	2024-08-01 07:47:16	90666502495566	000000000000000000000000000000000000000086927103d3099b35ae4e6c34
854926	AntPool	00000000000000000002e0336feae1343b213ef34293647cd4bf8f56a57ecc1a	2024-08-01 07:51:56	90666502495566	00000000000000000000000000000000000000008692c37a162c7ba65760a51a
854927	Foundry USA Pool	000000000000000000007dbf562c71e29a47ddd2e40b2fd0af7ec41609cc87a7	2024-08-01 08:00:32	90666502495566	0000000000000000000000000000000000000000869315f0594f5c170072de00
854928	Foundry USA Pool	00000000000000000000b833c0d17a79499e854c1b80b4396281ed9c6688a694	2024-08-01 08:10:08	90666502495566	0000000000000000000000000000000000000000869368669c723c87a98516e6
854929	AntPool	00000000000000000001a3c4c777c57538f4a1a1e8eeffea3a573a59401df577	2024-08-01 08:38:19	90666502495566	00000000000000000000000000000000000000008693badcdf951cf852974fcc
854930	AntPool	00000000000000000001a47b8d5a5d0dc8eccc2ec59219c0453ba2adaee225ef	2024-08-01 08:44:59	90666502495566	000000000000000000000000000000000000000086940d5322b7fd68fba988b2
854931	SlushPool	0000000000000000000314df098aa9088e7ad79e4b54b8537f3572b5d66e10e5	2024-08-01 09:15:35	90666502495566	000000000000000000000000000000000000000086945fc965daddd9a4bbc198
854932	AntPool	00000000000000000001489e4470692704a60c1a260330028f7e5a4a3f8b787f	2024-08-01 09:15:49	90666502495566	00000000000000000000000000000000000000008694b23fa8fdbe4a4dcdfa7e
854933	ViaBTC	00000000000000000001fb5565c65e982455f0c78f392e32c0d7d8510088f8de	2024-08-01 09:24:10	90666502495566	0000000000000000000000000000000000000000869504b5ec209ebaf6e03364
854934	Foundry USA Pool	0000000000000000000158a091f7c378434343c37ce181a20895afc2cf3057c8	2024-08-01 09:28:23	90666502495566	00000000000000000000000000000000000000008695572c2f437f2b9ff26c4a
854935	Foundry USA Pool	00000000000000000002b955f573a5f8cd8940d42b07e5b8b35444b3ccb5e63a	2024-08-01 09:31:56	90666502495566	00000000000000000000000000000000000000008695a9a272665f9c4904a530
854936	Foundry USA Pool	000000000000000000013a849662b7ad4fb97ecff97d7de0e7a1640d6f6fb772	2024-08-01 09:46:18	90666502495566	00000000000000000000000000000000000000008695fc18b589400cf216de16
854937	ViaBTC	000000000000000000005f90abaf77ac2faff28a882ec55d1f295f61b0d9d526	2024-08-01 09:47:31	90666502495566	000000000000000000000000000000000000000086964e8ef8ac207d9b2916fc
854938	Foundry USA Pool	00000000000000000001542da2c5fddf5bb26cb39f10f1d227018b9aae6fcb1e	2024-08-01 09:48:04	90666502495566	00000000000000000000000000000000000000008696a1053bcf00ee443b4fe2
854939	AntPool	000000000000000000028f1d4636cb47fbdeb8cf3a7f4f408a9473f9500d19fe	2024-08-01 10:05:51	90666502495566	00000000000000000000000000000000000000008696f37b7ef1e15eed4d88c8
854940	ViaBTC	00000000000000000001cc3cac1f76f70296dfab2e9d3515fe26945b4c7146c3	2024-08-01 10:20:01	90666502495566	0000000000000000000000000000000000000000869745f1c214c1cf965fc1ae
854941	AntPool	0000000000000000000172f66da285834d4798647f6907e5fb518135f1fafe43	2024-08-01 10:23:40	90666502495566	0000000000000000000000000000000000000000869798680537a2403f71fa94
854942	AntPool	00000000000000000000ead8b3cb10fe0b480858d41e05fdc746d0844516be75	2024-08-01 11:01:43	90666502495566	00000000000000000000000000000000000000008697eade485a82b0e884337a
854943	MaraPool	00000000000000000003165c3a3f78bff7a93924b84754080c9c23463bf08e3e	2024-08-01 11:17:05	90666502495566	000000000000000000000000000000000000000086983d548b7d632191966c60
854944	Foundry USA Pool	000000000000000000005019e558960aaa55b4958b246ff8e57e004567e78ed3	2024-08-01 11:18:33	90666502495566	000000000000000000000000000000000000000086988fcacea043923aa8a546
854945	MaraPool	0000000000000000000233577f6adaf5e4cb16af2728acc70da9f466b65bfb40	2024-08-01 11:21:29	90666502495566	00000000000000000000000000000000000000008698e24111c32402e3bade2c
854946	AntPool	000000000000000000012ee8c79c612b7fd9911b8291bdb8bc770d1ad68f1e55	2024-08-01 11:38:41	90666502495566	0000000000000000000000000000000000000000869934b754e604738ccd1712
854947	Foundry USA Pool	000000000000000000011b40a1af7cd6dc6c20f2545e66bf066fbf22519915c0	2024-08-01 12:03:07	90666502495566	00000000000000000000000000000000000000008699872d9808e4e435df4ff8
854948	Foundry USA Pool	00000000000000000001f64a7dae89b2589d3ea457bf9ac51b485c6fcfcad42b	2024-08-01 12:05:38	90666502495566	00000000000000000000000000000000000000008699d9a3db2bc554def188de
854949	MaraPool	00000000000000000001e86838e4313b014995c7773ff5c88f1fa4bf1fd121d8	2024-08-01 12:06:58	90666502495566	0000000000000000000000000000000000000000869a2c1a1e4ea5c58803c1c4
854950	ViaBTC	00000000000000000001a0012de2163cdf4829d41514865d8a8aa2e72edb6312	2024-08-01 12:46:54	90666502495566	0000000000000000000000000000000000000000869a7e90617186363115faaa
854951	MaraPool	00000000000000000000ae1b72ba592c9e896c16eb3e8522dd52983a6002c27b	2024-08-01 12:47:05	90666502495566	0000000000000000000000000000000000000000869ad106a49466a6da283390
854952	MaraPool	00000000000000000000de639b72b7288d1554b5f2418be7b99204defe33f1f1	2024-08-01 12:53:05	90666502495566	0000000000000000000000000000000000000000869b237ce7b74717833a6c76
854953	Foundry USA Pool	0000000000000000000077e37a6fbba5d82f04d493a1ae66205d207d615333fa	2024-08-01 12:53:56	90666502495566	0000000000000000000000000000000000000000869b75f32ada27882c4ca55c
854954	AntPool	000000000000000000004c6811eb95d463dcb1ca826f36ec8e96223065b53531	2024-08-01 13:34:25	90666502495566	0000000000000000000000000000000000000000869bc8696dfd07f8d55ede42
854955	AntPool	000000000000000000020d8d6843fbf547d3251eab22cea162154dd3017c990f	2024-08-01 13:33:58	90666502495566	0000000000000000000000000000000000000000869c1adfb11fe8697e711728
854956	AntPool	0000000000000000000284f6068598a9db84122abfe0b76758c8b2aa5fd2b45b	2024-08-01 13:34:22	90666502495566	0000000000000000000000000000000000000000869c6d55f442c8da2783500e
854957	SpiderPool	00000000000000000001de15d90030a830d4058debb0719b0f28aa98aa3b84f1	2024-08-01 13:50:06	90666502495566	0000000000000000000000000000000000000000869cbfcc3765a94ad09588f4
854958	F2Pool	0000000000000000000244cadacd41bba95ebd4ba66f175d1af1f12274c93b60	2024-08-01 14:13:26	90666502495566	0000000000000000000000000000000000000000869d12427a8889bb79a7c1da
854959	F2Pool	000000000000000000006253ff9d2430c304e6b016d14f7285c881efb60c4949	2024-08-01 14:15:42	90666502495566	0000000000000000000000000000000000000000869d64b8bdab6a2c22b9fac0
854960	F2Pool	00000000000000000001427e86b99d8a80cd5241213b8f8cb400183edbcbc28d	2024-08-01 14:20:53	90666502495566	0000000000000000000000000000000000000000869db72f00ce4a9ccbcc33a6
854961	AntPool	00000000000000000002644f9fc6785a1c1689737c462380d2206c2763e24790	2024-08-01 14:26:05	90666502495566	0000000000000000000000000000000000000000869e09a543f12b0d74de6c8c
854962	AntPool	00000000000000000002779dea12a81bc7a6f7a93930c5e694c49cd9ab7f0e15	2024-08-01 14:29:07	90666502495566	0000000000000000000000000000000000000000869e5c1b87140b7e1df0a572
854963	AntPool	00000000000000000002abb9c3507843567b692ef51eb457439a3d5763af70c5	2024-08-01 14:31:47	90666502495566	0000000000000000000000000000000000000000869eae91ca36ebeec702de58
854964	AntPool	0000000000000000000124c4d80bfd4b47b70be3605d51e41cafdfd3b9164ca2	2024-08-01 15:01:35	90666502495566	0000000000000000000000000000000000000000869f01080d59cc5f7015173e
854965	Foundry USA Pool	00000000000000000002525a953e505d9021c80ae085717056996a25bebeb30e	2024-08-01 15:12:58	90666502495566	0000000000000000000000000000000000000000869f537e507cacd019275024
854966	AntPool	00000000000000000002fc7a9ad681d5dcc466f9025259547dbc3ca6710665e1	2024-08-01 15:13:36	90666502495566	0000000000000000000000000000000000000000869fa5f4939f8d40c239890a
854967	Unknown	000000000000000000020fe9a0f0e19f608e69e97654892d844b963fa38a2def	2024-08-01 15:18:43	90666502495566	0000000000000000000000000000000000000000869ff86ad6c26db16b4bc1f0
854968	ViaBTC	00000000000000000002829466f89a48fd488ae19fabedba8c5e8ec8d4f2537b	2024-08-01 15:24:01	90666502495566	000000000000000000000000000000000000000086a04ae119e54e22145dfad6
