id	miner	hash	time	difficulty	total_difficulty	uncle_count
20429973	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	dc9b2d3e1a009e688cea4101747375893029db08a7d9c02cd5a9a8d52be28cce	2024-08-01 00:00:11	0	58750003716598352816469	0
20429974	0x0000000000000000000000000000000000000000	19ede736f72eb8da45eeea8c3eceb3679999b27c3343c3f1527617f327b74b1d	2024-08-01 00:00:23	0	58750003716598352816469	0
20429975	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	fa7bdc8518899c21b664311e691d58a21cc29998c6380e23386fb023fba72bf9	2024-08-01 00:00:35	0	58750003716598352816469	0
20429976	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	bafab39d34d4c2a5faf44a82514c5e017adf0e1ef00791d7c066d5d7e234b9f4	2024-08-01 00:00:47	0	58750003716598352816469	0
20429977	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	b99fc463f7ec306ab76e87b43474cb06da32a04e65c83505c19f93b5f10ba7ae	2024-08-01 00:00:59	0	58750003716598352816469	0
20429978	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	0e3eb2f23817beaf161d73a347d0d11dc0c1cc4a52d21005f65442ffad2e84e1	2024-08-01 00:01:11	0	58750003716598352816469	0
20429979	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	7cbb5066e533b950b27d346a2a7c6d12c51233583e0b194ae2cdf5acf0e0acef	2024-08-01 00:01:23	0	58750003716598352816469	0
20429980	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	cd95bfb78ab1282d5023dd2abcb721f8e5e3e66a91720aaa2bfa63e45406757c	2024-08-01 00:01:35	0	58750003716598352816469	0
20429981	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	dc6a34f65495869bd05feb5374d9dd65127675ccd2305b9bf3ee6df3341d3646	2024-08-01 00:01:47	0	58750003716598352816469	0
20429982	0x388c818ca8b9251b393131c08a736a67ccb19297	f01f513d3941ca13bfac4ec80861b1dec961a53ad833131c256e56537495bce4	2024-08-01 00:01:59	0	58750003716598352816469	0
20429983	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	344b5f37c4f6cd92a7958de9589e9c46e27be34477940a823b6b37585c2959ee	2024-08-01 00:02:11	0	58750003716598352816469	0
20429984	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	6f1051a500788ff0423fb8980ac24acc005540447dd8c6f3e7a367b1e78b0943	2024-08-01 00:02:23	0	58750003716598352816469	0
20429985	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	0fb18e16106015012ce153ed780d1ab89e4e93baade09f3a67efa9a9a1456ab7	2024-08-01 00:02:35	0	58750003716598352816469	0
20429986	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	bfdd97629b1375fe5d95a8558a0654b4741c0a928c706dc431f04fdcab7a2b39	2024-08-01 00:02:47	0	58750003716598352816469	0
20429987	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	38ca0fb5a4eba14998d541e61f23464a3afc294c35d69ba834f8681ba9679849	2024-08-01 00:02:59	0	58750003716598352816469	0
20429988	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	ce031232f680bc3dc4a6af202efa77dd762137aba6b38821d9abcd2c5ac951be	2024-08-01 00:03:11	0	58750003716598352816469	0
20429989	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	26ce33a9d339865405b06f3f62c1e1add1f3203806a6e91b58e80f0352590033	2024-08-01 00:03:23	0	58750003716598352816469	0
20429990	0x55dc84d342c16d811023709a92fb35557c1a75ab	376425ca7b083901c2c0960288783499a4fff0cd499aed4d53f68d919cac4894	2024-08-01 00:03:35	0	58750003716598352816469	0
20429991	0xa10f5be3aeaa615f03161c07f818426d04835b30	f35f85a1e425ee9cee1b483ab39e0921d541658453fadbaf47a2b3bcfa5a3443	2024-08-01 00:03:47	0	58750003716598352816469	0
20429992	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	78e1e4dfcbdd5dec64aceba9b1e19edb240de6e4d39378b9c60bcf50fac23045	2024-08-01 00:03:59	0	58750003716598352816469	0
