id	miner	hash	time	difficulty	chainwork
550237	CoinGeek	0000000000000000007102990c6f95c8b581ac0564988136f326fbe36ed3a3a7	2018-10-01 05:01:10	549433037174.32	000000000000000000000000000000000000000000c64ac2ee97817aac13ccbf
550238	BTC.TOP	000000000000000001783b9bd214092aa28a0d6cad39eb475f758229218029bd	2018-10-01 05:01:48	550633836867.36	000000000000000000000000000000000000000000c64b43236d4793cf6fdf30
550239	BTC.TOP	0000000000000000017b6c8bde85a956a4cd30053f738bbc1c1edcc45ea6fb11	2018-10-01 05:06:43	557643747881.84	000000000000000000000000000000000000000000c64bc4fa177067cff1b5da
550240	ViaBTC	000000000000000000a49f040e170db2167b394f2ee2a06c3a7635f7308a2d33	2018-10-01 05:10:45	569135154662.07	000000000000000000000000000000000000000000c64c497db539ebaa4b60d1
550241	Unknown	000000000000000000cb43f328a10f97c3371c19de1cf388db6129518081f9f4	2018-10-01 05:21:18	567946391057.92	000000000000000000000000000000000000000000c64ccdba77a4c0001b4e7a
550242	Unknown	0000000000000000018d6d7463f1d091134ae39e07d6a373654bb14e286f2e57	2018-10-01 05:22:30	574851569441.08	000000000000000000000000000000000000000000c64d5392d05439c3605c7c
550243	BMG Pool	00000000000000000109f7f35381acd6e59ddf3b04f119e1b5e33e23c7e58ea6	2018-10-01 05:45:06	571391711215.87	000000000000000000000000000000000000000000c64dd89ceef648450cd793
550244	BTC.com	000000000000000001d09b81250c1042e9d5004cd13849d69de3fb490d045e51	2018-10-01 05:46:59	571119980076.41	000000000000000000000000000000000000000000c64e5d96db3e60f593fe55
550245	Bitcoin.com	0000000000000000012c1a511a0f24b1f1b6993abcfe1b18f18ad419aa9c4671	2018-10-01 05:59:18	564246182784.41	000000000000000000000000000000000000000000c64ee0f7101a1639f9ecda
550246	Unknown	000000000000000000cc07d0088c493c10e2034a197d1c0cd83f18c8f1775e31	2018-10-01 06:08:16	564838869062.48	000000000000000000000000000000000000000000c64f647a98c5e55fd5e048
550247	ViaBTC	000000000000000000e8953ce7a60c05b6bb154d0f5d8d5cbb3b80dd73117cbf	2018-10-01 06:32:58	560197272161.37	000000000000000000000000000000000000000000c64fe6e97737252f0ce895
550248	Unknown	00000000000000000178a7903c8d3d3a8a0af34b822c854fcbefff17eb84c5f5	2018-10-01 06:41:29	560463065867.34	000000000000000000000000000000000000000000c65069682d68e6b74cc93b
550249	CoinGeek	000000000000000001846c506b63ccfedd409952ff5eac6396d3238c38b87f79	2018-10-01 06:43:10	552063977921.73	000000000000000000000000000000000000000000c650e9f241bcbcc63ed740
550250	Bitcoin.com	000000000000000001213add701c599a99a086a4515c6f02a63b6f8ce70ee893	2018-10-01 06:43:45	550120966280.36	000000000000000000000000000000000000000000c6516a08859b8900bf0287
550251	Unknown	000000000000000000ccce17d1de80d6f2667a15d3d62601b1f52f30bdd976f0	2018-10-01 06:53:40	555494268450.31	000000000000000000000000000000000000000000c651eb5f10d03684496302
550252	CoinGeek	0000000000000000011e5c11e5bc0e578f855cef910fa0b7c3810d6748c97a96	2018-10-01 06:53:45	555382948669.67	000000000000000000000000000000000000000000c6526caef9635cc2a15576
550253	AntPool	0000000000000000012b1539a02e7ed636da524b2436d4984516e7da747cbb7c	2018-10-01 07:01:26	554242356500.71	000000000000000000000000000000000000000000c652edbae5a45db81f03e5
550254	BMG Pool	000000000000000000fbf1de39b631685f5f8df5882866ceeb2f968ba1f1c93b	2018-10-01 07:21:31	567110511859.06	000000000000000000000000000000000000000000c65371c5d55c407f13665a
550255	ViaBTC	0000000000000000005dce6f27edc66de573821c9e4443157bc753a77fccce7f	2018-10-01 07:40:19	565921292794.09	000000000000000000000000000000000000000000c653f589e2c247fbdb5942
550256	Bitcoin.com	000000000000000001f7a25cfb18a17b85ce9381dde29f8a3ada0fb7e4d5367a	2018-10-01 07:46:30	558283188135.71	000000000000000000000000000000000000000000c6547786aa26b716ba86ca
550257	BMG Pool	000000000000000001001c1fdab593f00cb6343379cb93033464110eaaaf97c9	2018-10-01 07:50:06	551738485947.83	000000000000000000000000000000000000000000c654f7fd57ca208da8e600
550258	AntPool	000000000000000000e6ac4b8245f5d1c7f90c59222dde5da16f717c5078c7f5	2018-10-01 07:53:35	566068004731.6	000000000000000000000000000000000000000000c6557bca23de683cbfb4d7
550259	Unknown	00000000000000000099ab4ed20dc961ad699ce855dac978312eb14707c3b11d	2018-10-01 08:33:06	572535811261.37	000000000000000000000000000000000000000000c6560118745976176a4c10
550260	ViaBTC	000000000000000000cd5e386f36e3f08f4a1e9f15d4513bda37e9b2cadeeff7	2018-10-01 08:34:24	572340263755.58	000000000000000000000000000000000000000000c656865b1cf76a4a270532
550261	BTC.TOP	000000000000000001870fd517ea199384ae3e292cfa640e3cd0a0faa4cf56c3	2018-10-01 08:37:00	557522937438.49	000000000000000000000000000000000000000000c657082a93ad3f7d57c94e
550262	CoinGeek	000000000000000001c01cbf8f879b80bf093deeac0d7720fbfe2a2c73ff864a	2018-10-01 08:37:08	562155224539.9	000000000000000000000000000000000000000000c6578b0e268eae45cf81c5
550263	CoinGeek	000000000000000001661ee54d3ed2b796c17d23db78db070f516d3224721c26	2018-10-01 08:44:14	566352753902.81	000000000000000000000000000000000000000000c6580eebeba16226f5f3d6
550264	BMG Pool	000000000000000000b47006dc5906c548577f71835db523568660d676a7cf47	2018-10-01 08:53:06	568210629243.85	000000000000000000000000000000000000000000c65893386e10606f2b9e3f
550265	ViaBTC	00000000000000000167b4ebd3c00d24b81fbd2f60c26fca23416b587688ec53	2018-10-01 08:54:19	565610337265.69	000000000000000000000000000000000000000000c65916e9f295d6a5e89f3c
550266	ViaBTC	000000000000000000e4c7bd3a939b664fbab14b86ddc6419a729599927cbd74	2018-10-01 08:54:56	562954557734.17	000000000000000000000000000000000000000000c65999fd2a8234bd005004
550267	CoinGeek	000000000000000001725ff9d36402212b99a0b5f4b8b7a0550f4d53571914ca	2018-10-01 09:02:10	562589744896.16	000000000000000000000000000000000000000000c65a1cfaa3beae2268eb4f
550268	ViaBTC	00000000000000000148fc653e5c0bf289ccfc6498f4c3822638828080ce8a18	2018-10-01 09:35:08	564967300917.35	000000000000000000000000000000000000000000c65aa085d42913e741fa3f
550269	BMG Pool	00000000000000000176bc21d605286e6e067c9a85826e4ff32482b768439617	2018-10-01 09:45:07	564976160439.55	000000000000000000000000000000000000000000c65b24118bc3830f47a55c
550270	Unknown	000000000000000001b77ce2acb9680ac2633374ff04a7dc6f9239a23e7f508d	2018-10-01 09:50:20	552597430337.59	000000000000000000000000000000000000000000c65ba4bb6c0da4f0025be0
550271	Bitcoin.com	000000000000000000e33d42b1ddff16a697f0963a6101c8ec092b3c4dd79f23	2018-10-01 09:52:14	557152203868.4	000000000000000000000000000000000000000000c65c2674c9bb5f041cc1b0
550272	CoinGeek	0000000000000000014c180542c097af815ba0c938139d26e70fd36d3781b60f	2018-10-01 09:53:51	567843449515.74	000000000000000000000000000000000000000000c65caaab695caa63849852
550273	BTC.com	0000000000000000016ee30f369eb9ae714d5f156a1c923a0353897118ce00ac	2018-10-01 10:19:42	567056956554.21	000000000000000000000000000000000000000000c65d2eb327e0f31dd8a628
550274	ViaBTC	000000000000000001c487068dbca32cd05de2197785acbf29c5db48537d551e	2018-10-01 10:31:21	569603049147.45	000000000000000000000000000000000000000000c65db352a9472ff7e04f86
550275	BMG Pool	00000000000000000052a59e3448eb10c6bd3047a0407016c139eb7a25cebf56	2018-10-01 10:32:06	560524103291.28	000000000000000000000000000000000000000000c65e35d502d804cf756139
550276	Unknown	000000000000000001beaa91112cbb389ff8461937db3dec6797803acc86bf9d	2018-10-01 10:37:08	560402041735.11	000000000000000000000000000000000000000000c65eb85015de9ef1a7d2bd
550277	BTC.com	000000000000000000375f7e1590a77669741d22517774897fbefbe3bcf55fb6	2018-10-01 10:49:32	576060235250.43	000000000000000000000000000000000000000000c65f3e70799cf51e532834
550278	BMG Pool	00000000000000000022ebba481fa9c8a8093a07c775f21e6a89c76621bb649c	2018-10-01 11:11:07	576207644169.27	000000000000000000000000000000000000000000c65fc499a6ac2b738e1cc6
550279	CoinGeek	000000000000000001968da50fe042ff9c73b4cefa36e07754f69b14d76ba79f	2018-10-01 11:21:10	576133930280.89	000000000000000000000000000000000000000000c6604abe6eee1c985f4728
550280	ViaBTC	000000000000000000e41eb16af422360485df2f9cc581cfe64bd8ddf45d35b0	2018-10-01 11:24:02	572376634572.25	000000000000000000000000000000000000000000c660d0034287bc7132cbf5
550281	CoinGeek	000000000000000000e916aa7d29f1212c279ac99ede9df415865695958c5b83	2018-10-01 12:13:07	575949728047.54	000000000000000000000000000000000000000000c661561d100ab97f67c1c1
550282	CoinGeek	00000000000000000033c5eaa9b0ed13c1f82aca2c43484d75f866afc240ce02	2018-10-01 12:22:12	583070977952.11	000000000000000000000000000000000000000000c661dddf54dc9e6e667540
550283	AntPool	000000000000000001df56329b3831c92b953c2266f97ee7d7632b3d37a1234d	2018-10-01 12:39:22	574439121528.57	000000000000000000000000000000000000000000c662639f17feda21524a53
550284	CoinGeek	0000000000000000004aec6e805cf9050a381f99c093fae6c835450853f8e9a3	2018-10-01 12:57:10	590573755860.54	000000000000000000000000000000000000000000c662ed2091de288a7a444c
550285	Bitcoin.com	0000000000000000003fec34c984389c2b9f9415f45ab30103f78b639cceb5b8	2018-10-01 13:10:39	585453895304.6	000000000000000000000000000000000000000000c6637570dfacfef42a675f
550286	BTC.com	000000000000000001469c0b56658f0e4b3a179eb30b52a69aa8802993a8da53	2018-10-01 13:25:14	587794029809.61	000000000000000000000000000000000000000000c663fe4ca9a5ba8868da29
550287	AntPool	0000000000000000012b4dded4575eae9934878f0be25e36edae186142348495	2018-10-01 13:29:00	585606151571.77	000000000000000000000000000000000000000000c66486a60abcaf64cb919e
